Note,Score_duration,Time-Signature,Movement,Measure,Repeated
0,0,0,x,x,.
E5,0.5,4/4,1,1,0
E4,0.25,4/4,1,1,0
F♯4,0.25,4/4,1,1,0
G4,0.25,4/4,1,1,0
E5,0.25,4/4,1,1,0
A4,0.25,4/4,1,1,0
E5,0.25,4/4,1,1,0
B4,0.25,4/4,1,1,0
E5,0.25,4/4,1,1,0
D♯5,0.5,4/4,1,1,0
0,0.5,4/4,1,1,0
D♯5,0.25,4/4,1,1,0
E5,0.25,4/4,1,1,0
F♯5,0.25,4/4,1,2,0
B4,0.25,4/4,1,2,0
A4,0.25,4/4,1,2,0
C6,0.25,4/4,1,2,0
G4,0.25,4/4,1,2,0
B5,0.25,4/4,1,2,0
F♯4,0.25,4/4,1,2,0
A5,0.25,4/4,1,2,0
E4,0.25,4/4,1,2,0
G5,0.125,4/4,1,2,0
F♯5,0.125,4/4,1,2,0
E5,0.5,4/4,1,2,0
0,0.25,4/4,1,2,0
F♯5,0.25,4/4,1,2,0
G5,0.25,4/4,1,2,0
B4,0.25,4/4,1,2,0
C5,0.25,4/4,1,3,0
A5,0.25,4/4,1,3,0
F♯5,0.25,4/4,1,3,0
G5,0.25,4/4,1,3,0
B4,0.25,4/4,1,3,0
D6,0.25,4/4,1,3,0
F♯5,0.25,4/4,1,3,0
G5,0.25,4/4,1,3,0
C5,0.25,4/4,1,3,0
A5,0.25,4/4,1,3,0
F♯5,0.25,4/4,1,3,0
G5,0.25,4/4,1,3,0
B4,0.25,4/4,1,3,0
D6,0.25,4/4,1,3,0
F♯5,0.25,4/4,1,3,0
G5,0.25,4/4,1,3,0
A4,0.25,4/4,1,4,0
C6,0.25,4/4,1,4,0
F♯4,0.25,4/4,1,4,0
C6,0.25,4/4,1,4,0
G4,0.25,4/4,1,4,0
B5,0.25,4/4,1,4,0
C♯5,0.25,4/4,1,4,0
B5,0.25,4/4,1,4,0
D5,0.25,4/4,1,4,0
B5,0.25,4/4,1,4,0
A5,0.5,4/4,1,4,0
0,0.25,4/4,1,4,0
C5,0.25,4/4,1,4,0
B4,0.25,4/4,1,4,0
A4,0.25,4/4,1,4,0
B4,0.25,4/4,1,5,0
A5,0.25,4/4,1,5,0
G5,0.25,4/4,1,5,0
B4,0.25,4/4,1,5,0
D4,0.25,4/4,1,5,0
G5,0.25,4/4,1,5,0
F♯5,0.25,4/4,1,5,0
A4,0.25,4/4,1,5,0
G♯4,0.25,4/4,1,5,0
F♯5,0.25,4/4,1,5,0
E♯5,0.25,4/4,1,5,0
E5,0.25,4/4,1,5,0
D♯5,0.25,4/4,1,5,0
D5,0.25,4/4,1,5,0
C♯5,0.25,4/4,1,5,0
B4,0.25,4/4,1,5,0
F♯4,0.25,4/4,1,6,0
B5,0.25,4/4,1,6,0
A♯5,0.25,4/4,1,6,0
A5,0.25,4/4,1,6,0
G♯5,0.25,4/4,1,6,0
G5,0.25,4/4,1,6,0
F♯5,0.25,4/4,1,6,0
A♯5,0.25,4/4,1,6,0
B5,0.5,4/4,1,6,0
B4,0.25,4/4,1,6,0
C♯5,0.25,4/4,1,6,0
D5,0.25,4/4,1,6,0
B5,0.25,4/4,1,6,0
E5,0.25,4/4,1,6,0
C♯6,0.25,4/4,1,6,0
F♯5,0.25,4/4,1,7,0
B5,0.25,4/4,1,7,0
A♯5,0.5,4/4,1,7,0
0,0.5,4/4,1,7,0
A♯5,0.25,4/4,1,7,0
B5,0.25,4/4,1,7,0
C♯6,0.25,4/4,1,7,0
F♯5,0.25,4/4,1,7,0
E5,0.25,4/4,1,7,0
C♯6,0.25,4/4,1,7,0
D5,0.25,4/4,1,7,0
B5,0.25,4/4,1,7,0
C♯5,0.25,4/4,1,7,0
C♯6,0.25,4/4,1,7,0
B4,0.25,4/4,1,8,0
D6,0.125,4/4,1,8,0
C♯6,0.125,4/4,1,8,0
B5,0.5,4/4,1,8,0
0,0.25,4/4,1,8,0
C♯6,0.25,4/4,1,8,0
